system:index,gap_filled_percent,offset_mean,year,.geo
0,100.0,32.59620327826516,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,30.386277541326006,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,13.813736801834677,33.91381742711482,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,14.18712498986128,31.570327388029522,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,15.405986929575203,31.3514634484153,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,15.887216670113025,30.740631189848838,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,11.45217510989635,33.06763425909158,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13.496323640326851,32.259676515992616,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,15.128266828344838,31.975487758162277,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,15.106057775650624,30.121596386762747,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.770755989082852,32.77802848917147,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.403661154809027,33.68872638103113,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,14.340819031967978,30.6458399808331,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,14.984467823334654,28.935880567171917,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,14.188734661841657,32.85530263906221,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,13.464304879571982,30.70425003192835,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,13.084330273481697,34.340940980011176,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,18.267735643086397,30.10625093262331,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,13.625933868671346,32.55145754075013,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,15.46843861626834,32.86516572660361,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
